trajectoryMain-x,trajectoryMain-y,trajectoryLeft-x,trajectoryLeft-y,trajectoryRight-x,trajectoryRight-y
5.392146167920541E-5,-7.14823493982769E-10,4.570227149987478E-5,-0.31000000060586363,6.214065185853605E-5,0.3099999991762167,
4.2892145103749947E-4,-4.523072188100316E-8,3.6354085883970636E-4,-0.31000003833617046,4.943020432352926E-4,0.3099999478747267,
0.0012726713513375805,-3.9821360001851026E-7,0.001078674083106658,-0.31000033751207784,0.001466668619568503,0.30999954108487776,
0.0027726706029378182,-1.8901224923946426E-6,0.0023500097520689884,-0.31000160198978616,0.003195331453806648,0.30999782174480134,
0.0051164160661769514,-6.43636025308373E-6,0.004336439867708535,-0.31000545512826444,0.0058963922646453676,0.30999258240775823,
0.008491396782686737,-1.7729176374590462E-5,0.007196830324951697,-0.31001502609634213,0.009785963240421776,0.3099795677435929,
0.013085081119479394,-4.2102903324787826E-5,0.011090006966515992,-0.31003568296446765,0.015080155272442795,0.30995147715781807,
0.019084891148426975,-8.95726398043497E-5,0.016174737815202667,-0.31007591267364704,0.021995044481651283,0.3098967673940383,
0.02667815571215595,-1.7504615664036376E-4,0.02260971028377479,-0.31014834783244,0.03074660114053711,0.30979825551915924,
0.03605203120411399,-3.197080007199173E-4,0.030553502357128698,-0.31027093993974425,0.04155056005109928,0.30963152393830445,
0.04739337607312135,-5.525732251680324E-4,0.04016454682750644,-0.3104682779381396,0.05462220531873626,0.3093631314878035,
0.06088856020660386,-9.122054571416502E-4,0.05160108656605662,-0.31077304976209114,0.0701760338471511,0.3089486388478078,
0.07672318792965675,-0.001448589684036647,0.06502112007831004,-0.31122764257173996,0.08842525578100346,0.30833046320366664,
0.09508170893289478,-0.002225143536777753,0.08058233626432341,-0.31188587432487413,0.10958108160146614,0.3074355872513186,
0.11614688779907126,-0.003320841260720596,0.09844203739699367,-0.31281484487345623,0.13385173820114885,0.3061731623520151,
0.14009910110858148,-0.00483241125932015,0.11875705023893736,-0.3140968884704566,0.1614411519782256,0.30443206595181627,
