dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.446368,1.299292,3.730811,0.268169,-0.934449,1.500000,0.026392
0.050000,3.458699,1.299580,3.743145,0.225197,-0.859449,1.500000,0.020322
0.050000,3.468976,1.299763,3.753424,0.185974,-0.784449,1.500000,0.015263
0.050000,3.477388,1.299874,3.761836,0.150502,-0.709449,1.500000,0.011124
0.050000,3.484119,1.299938,3.768568,0.118780,-0.634449,1.500000,0.007811
0.050000,3.489359,1.299972,3.773808,0.090807,-0.559449,1.500000,0.005234
0.050000,3.493294,1.299989,3.777742,0.066585,-0.484449,1.500000,0.003298
0.050000,3.496111,1.299996,3.780560,0.046112,-0.409449,1.500000,0.001912
0.050000,3.497999,1.299999,3.782447,0.029390,-0.334449,1.500000,0.000984
0.050000,3.499144,1.300000,3.783592,0.016417,-0.259449,1.500000,0.000421
0.050000,3.499734,1.300000,3.784183,0.007195,-0.184449,1.500000,0.000131
0.050000,3.499957,1.300000,3.784406,0.001722,-0.109449,1.500000,0.000021
0.050000,3.500000,1.300000,3.784449,0.000000,-0.034449,1.500000,6.283185
0.050000,3.500000,1.300000,3.784449,0.000000,0.000000,0.688976,6.283185
